# DERIVED by tools/build_flowpaths.py from data/hpc-vector-diagrams.yaml (Table XXI streamlines 1 and 12) -- z in the HPC report's datum
row,edge,z_hub_cm,r_hub_cm,z_tip_cm,r_tip_cm,blade_height_cm
IGV,LE,-6.543,17.337,-7.658,36.211,18.874
IGV,TE,-2.464,17.288,-1.458,35.540,18.252
R1,LE,0.000,17.795,2.085,35.070,17.275
R1,TE,9.254,20.343,6.891,34.379,14.036
S1,LE,10.307,20.641,9.655,34.103,13.462
S1,TE,13.984,21.693,13.630,33.804,12.111
R2,LE,15.464,22.100,16.418,33.589,11.489
R2,TE,21.168,23.623,19.865,33.317,9.694
S2,LE,22.325,23.902,21.974,33.171,9.269
S2,TE,25.044,24.536,25.008,32.971,8.435
R3,LE,26.380,24.805,26.886,32.833,8.028
R3,TE,30.372,25.505,29.629,32.601,7.096
S3,LE,31.474,25.681,31.219,32.466,6.785
S3,TE,33.702,26.029,33.637,32.262,6.233
R4,LE,34.908,26.173,35.279,32.123,5.950
R4,TE,38.112,26.471,37.512,31.934,5.463
S4,LE,39.129,26.576,38.946,31.813,5.237
S4,TE,41.054,26.775,41.001,31.639,4.864
R5,LE,42.157,26.840,42.479,31.514,4.674
R5,TE,44.857,26.919,44.386,31.352,4.433
S5,LE,45.727,26.955,45.647,31.246,4.291
S5,TE,47.485,27.031,47.505,31.088,4.057
R6,LE,49.346,27.098,49.563,30.849,3.751
R6,TE,51.527,27.163,51.201,30.732,3.569
S6,LE,52.448,27.180,52.369,30.649,3.469
S6,TE,54.134,27.252,54.158,30.521,3.269
R7,LE,55.288,27.286,55.498,30.425,3.139
R7,TE,57.481,27.327,57.164,30.306,2.979
S7,LE,58.418,27.326,58.370,30.219,2.893
S7,TE,60.276,27.317,60.255,30.084,2.767
R8,LE,62.186,27.323,62.353,29.957,2.634
R8,TE,64.226,27.368,63.974,29.885,2.517
S8,LE,65.002,27.367,64.995,29.840,2.473
S8,TE,67.053,27.353,67.158,29.745,2.392
R9,LE,67.961,27.357,68.113,29.703,2.346
R9,TE,69.804,27.377,69.571,29.639,2.262
S9,LE,70.603,27.374,70.612,29.593,2.219
S9,TE,72.443,27.359,72.473,29.511,2.152
R10,LE,73.432,27.361,73.552,29.463,2.102
R10,TE,75.025,27.375,74.843,29.406,2.031
S10,LE,76.036,27.370,75.974,29.358,1.988
S10,TE,78.207,27.357,78.207,29.342,1.985
