# LPT appendix p.155 (pdf_page: 168); inches; Z from the HPT exit plane, R radius, RTHETA tangential
# quality: faint scan; single read; digits in the middle rows uncertain
surface,z_in,r_in,rtheta_in
suction,9.399739,18.856664,0.0
suction,9.396793,18.855297,0.005103
suction,9.396036,18.854945,0.012361
suction,9.397523,18.855636,0.021720
suction,9.401338,18.857407,0.033097
suction,9.407581,18.860303,0.046391
suction,9.416362,18.864374,0.061497
suction,9.427775,18.869660,0.078321
suction,9.441877,18.876182,0.096808
suction,9.458669,18.883937,0.116962
suction,9.478056,18.892873,0.138741
suction,9.478056,18.892873,0.138741
suction,9.503562,18.904602,0.165349
suction,9.529653,18.916569,0.190360
suction,9.556488,18.928843,0.213833
suction,9.584168,18.941468,0.235651
suction,9.612799,18.954489,0.255616
suction,9.642524,18.967997,0.273505
suction,9.673488,18.982016,0.289031
suction,9.705766,18.996570,0.301879
suction,9.739354,19.011648,0.311635
suction,9.774032,19.027146,0.317876
suction,9.809410,19.042882,0.320213
suction,9.844966,19.058589,0.318394
suction,9.880154,19.073975,0.312411
suction,9.914551,19.088954,0.302393
suction,9.947848,19.103395,0.288614
suction,9.979841,19.117217,0.271448
suction,10.010480,19.130405,0.251223
suction,10.039953,19.143045,0.228150
suction,10.068507,19.155182,0.202313
suction,10.096472,19.167015,0.173630
suction,10.124063,19.178717,0.141976
suction,10.151227,19.190265,0.107606
suction,10.177943,19.201650,0.070867
suction,10.204114,19.212829,0.031983
suction,10.229640,19.223756,-0.008759
suction,10.254713,19.234513,-0.051324
suction,10.279622,19.245270,-0.095969
suction,10.304510,19.256212,-0.142797
suction,10.329464,19.267219,-0.191707
suction,10.354467,19.278373,-0.242602
suction,10.379509,19.289582,-0.295327
suction,10.404597,19.300877,-0.349654
suction,10.429765,19.312275,-0.405292
suction,10.455028,19.323783,-0.461983
suction,10.480332,19.335378,-0.519572
suction,10.499930,19.344405,-0.564669
pressure,9.399739,18.856664,0.0
pressure,9.403614,18.858463,-0.002426
pressure,9.408881,18.860906,-0.003370
pressure,9.415444,18.863949,-0.002737
pressure,9.423180,18.867532,-0.000403
pressure,9.431993,18.871612,0.003728
pressure,9.441891,18.876189,0.009648
pressure,9.453087,18.881360,0.017146
pressure,9.474386,18.891182,0.031382
pressure,9.504896,18.905215,0.050788
pressure,9.534725,18.918891,0.068374
pressure,9.534725,18.918891,0.068374
pressure,9.564014,18.932279,0.084311
pressure,9.592718,18.945360,0.098675
pressure,9.620677,18.958071,0.111337
pressure,9.647792,18.970386,0.122199
pressure,9.673956,18.982228,0.131262
pressure,9.699026,18.993536,0.138537
pressure,9.722857,19.004251,0.144066
pressure,9.745373,19.014344,0.147871
pressure,9.766580,19.023822,0.150077
pressure,9.786697,19.032788,0.150618
pressure,9.806114,19.041419,0.150354
pressure,9.825363,19.049949,0.148768
pressure,9.844959,19.058585,0.146064
pressure,9.865357,19.067513,0.142132
pressure,9.886855,19.076898,0.136723
pressure,9.909657,19.086826,0.129526
pressure,9.933812,19.097315,0.120314
pressure,9.959135,19.108278,0.108909
pressure,9.985375,19.119603,0.095065
pressure,10.012205,19.131146,0.078392
pressure,10.039409,19.142812,0.058186
pressure,10.067040,19.154562,0.033644
pressure,10.095118,19.166441,0.004762
pressure,10.123742,19.178581,-0.027698
pressure,10.153011,19.191025,-0.062767
pressure,10.182732,19.203694,-0.099709
pressure,10.212619,19.216467,-0.138623
pressure,10.242525,19.229281,-0.180087
pressure,10.272366,19.242101,-0.224290
pressure,10.302158,19.255175,-0.271090
pressure,10.331910,19.268334,-0.320218
pressure,10.361618,19.281567,-0.371379
pressure,10.391244,19.294857,-0.424238
pressure,10.420776,19.308196,-0.478457
pressure,10.450267,19.321609,-0.533757
pressure,10.473058,19.332038,-0.577177
