# LPT appendix p.161 (pdf_page: 174); inches; Z from the HPT exit plane, R radius, RTHETA tangential
surface,z_in,r_in,rtheta_in
suction,13.379752,20.568110,0.0
suction,13.376703,20.566803,0.006110
suction,13.376333,20.566644,0.014544
suction,13.378703,20.567660,0.025231
suction,13.383912,20.569892,0.038060
suction,13.392080,20.573390,0.052898
suction,13.403337,20.578209,0.069599
suction,13.417800,20.584395,0.088031
suction,13.435554,20.591981,0.108105
suction,13.456616,20.600970,0.129801
suction,13.463873,20.604064,0.136925
suction,13.463873,20.604064,0.136925
suction,13.491464,20.615817,0.162562
suction,13.519865,20.627894,0.186517
suction,13.548967,20.640247,0.208619
suction,13.578866,20.652915,0.228825
suction,13.609774,20.665987,0.246977
suction,13.641870,20.679558,0.262854
suction,13.675282,20.693649,0.276131
suction,13.709853,20.708188,0.286400
suction,13.745282,20.723047,0.293308
suction,13.781294,20.738106,0.296520
suction,13.817528,20.753214,0.295820
suction,13.853566,20.768199,0.291109
suction,13.889006,20.782881,0.282444
suction,13.923603,20.797151,0.270064
suction,13.957211,20.810954,0.254180
suction,13.989793,20.824279,0.234963
suction,14.021439,20.837170,0.212575
suction,14.052406,20.849733,0.186988
suction,14.082904,20.861998,0.158152
suction,14.112836,20.873904,0.126261
suction,14.142187,20.885556,0.091613
suction,14.170945,20.896953,0.054299
suction,14.199151,20.908111,0.014449
suction,14.226938,20.919083,-0.027862
suction,14.254450,20.929923,-0.072630
suction,14.281719,20.940660,-0.119755
suction,14.308730,20.951294,-0.169039
suction,14.335528,20.961938,-0.220319
suction,14.362159,20.972525,-0.273509
suction,14.388684,20.983078,-0.328509
suction,14.415156,20.993619,-0.385190
suction,14.441619,21.004165,-0.443391
suction,14.468109,21.014730,-0.502927
suction,14.494684,21.025338,-0.563614
suction,14.521382,21.036004,-0.625328
suction,14.542514,21.044452,-0.674611
pressure,13.379752,20.568110,0.0
pressure,13.384064,20.569957,-0.003096
pressure,13.390086,20.572536,-0.004587
pressure,13.397720,20.575805,-0.004360
pressure,13.406835,20.579705,-0.002268
pressure,13.417331,20.584194,0.001803
pressure,13.429209,20.589271,0.007851
pressure,13.442682,20.595024,0.015639
pressure,13.457956,20.601541,0.024603
pressure,13.489823,20.615119,0.043032
pressure,13.520991,20.628372,0.060591
pressure,13.520991,20.628372,0.060591
pressure,13.551328,20.641248,0.076986
pressure,13.580855,20.653757,0.092093
pressure,13.609681,20.665948,0.105938
pressure,13.637710,20.677801,0.118457
pressure,13.664730,20.689203,0.129493
pressure,13.690561,20.700079,0.138763
pressure,13.715077,20.710382,0.145962
pressure,13.738434,20.720178,0.150917
pressure,13.760932,20.729596,0.153626
pressure,13.782849,20.738755,0.154242
pressure,13.804542,20.747805,0.152888
pressure,13.826432,20.756920,0.149653
pressure,13.848920,20.766269,0.144562
pressure,13.872251,20.775948,0.137498
pressure,13.896571,20.786006,0.128370
pressure,13.921917,20.796457,0.117092
pressure,13.948198,20.807258,0.103485
pressure,13.975160,20.818301,0.087311
pressure,14.002589,20.829498,0.067986
pressure,14.030585,20.840885,0.044820
pressure,14.059162,20.852468,0.017648
pressure,14.088332,20.864159,-0.013110
pressure,14.118053,20.875976,-0.047009
pressure,14.148194,20.887938,-0.083715
pressure,14.178610,20.899987,-0.123157
pressure,14.209269,20.912108,-0.165360
pressure,14.240186,20.924308,-0.210130
pressure,14.271315,20.936568,-0.257182
pressure,14.302613,20.948869,-0.306343
pressure,14.334016,20.961337,-0.357557
pressure,14.365471,20.973842,-0.410716
pressure,14.396936,20.986363,-0.465673
pressure,14.428374,20.998885,-0.522235
pressure,14.459727,21.011386,-0.580216
pressure,14.490957,21.023850,-0.639478
pressure,14.515455,21.033636,-0.687000
