# LPT appendix p.171 (pdf_page: 184); inches; Z from the HPT exit plane, R radius, RTHETA tangential
# quality: faint scan; single read
surface,z_in,r_in,rtheta_in
suction,21.710133,15.575004,0.0
suction,21.707451,15.575044,0.006885
suction,21.707984,15.575037,0.016019
suction,21.711491,15.574984,0.027324
suction,21.718365,15.574882,0.040673
suction,21.728637,15.574732,0.055888
suction,21.742473,15.574533,0.072743
suction,21.760077,15.574284,0.090962
suction,21.781686,15.573987,0.110222
suction,21.807571,15.573640,0.130155
suction,21.838035,15.573248,0.150349
suction,21.873412,15.572812,0.170352
suction,21.891989,15.572592,0.179618
suction,21.891989,15.572592,0.179618
suction,21.928785,15.572174,0.195805
suction,21.965821,15.571777,0.209545
suction,22.003443,15.571381,0.221019
suction,22.041506,15.571000,0.230110
suction,22.079750,15.570651,0.236719
suction,22.118131,15.570335,0.240864
suction,22.156655,15.570053,0.242567
suction,22.195252,15.569804,0.241796
suction,22.233829,15.569591,0.238549
suction,22.272301,15.569421,0.232849
suction,22.310584,15.569316,0.224742
suction,22.348589,15.569254,0.214307
suction,22.386266,15.569234,0.201619
suction,22.423680,15.569257,0.186688
suction,22.460902,15.569319,0.169502
suction,22.497952,15.569423,0.150145
suction,22.534775,15.569565,0.128699
suction,22.571092,15.569733,0.105397
suction,22.606667,15.569938,0.080532
suction,22.641683,15.570180,0.054065
suction,22.676493,15.570460,0.025985
suction,22.711072,15.570778,-0.003605
suction,22.745294,15.571132,-0.034569
suction,22.779179,15.571320,-0.066851
suction,22.812860,15.571943,-0.100353
suction,22.846318,15.572414,-0.135076
suction,22.879560,15.572925,-0.170948
suction,22.912605,15.573473,-0.207851
suction,22.945481,15.574057,-0.245627
suction,22.978207,15.574677,-0.284091
suction,23.010792,15.575333,-0.323047
suction,23.043319,15.576026,-0.362266
suction,23.075954,15.576760,-0.401491
suction,23.099690,15.577318,-0.429778
pressure,21.710133,15.575004,0.0
pressure,21.713532,15.574953,-0.002593
pressure,21.718845,15.574875,-0.003738
pressure,21.726028,15.574770,-0.003377
pressure,21.735033,15.574640,-0.001443
pressure,21.745835,15.574485,0.002098
pressure,21.758475,15.574307,0.007189
pressure,21.773121,15.574104,0.013603
pressure,21.793224,15.573831,0.022335
pressure,21.829692,15.573354,0.037653
pressure,21.865399,15.572909,0.052238
pressure,21.899579,15.572505,0.065361
pressure,21.932669,15.572131,0.076173
pressure,21.932669,15.572131,0.076173
pressure,21.965648,15.571779,0.085272
pressure,21.998387,15.571435,0.092902
pressure,22.030540,15.571107,0.098923
pressure,22.062252,15.570800,0.103269
pressure,22.093784,15.570532,0.106094
pressure,22.125177,15.570281,0.107530
pressure,22.156428,15.570054,0.107609
pressure,22.187607,15.569851,0.106348
pressure,22.218804,15.569670,0.103735
pressure,22.250108,15.569511,0.099729
pressure,22.281600,15.569392,0.094268
pressure,22.313370,15.569310,0.087275
pressure,22.345467,15.569257,0.078711
pressure,22.377829,15.569215,0.068538
pressure,22.410381,15.569244,0.056594
pressure,22.443106,15.569284,0.042569
pressure,22.476058,15.569357,0.026218
pressure,22.509516,15.569463,0.007521
pressure,22.543717,15.569604,-0.013083
pressure,22.578475,15.569772,-0.034968
pressure,22.613440,15.569981,-0.057815
pressure,22.648637,15.570233,-0.082216
pressure,22.684190,15.570528,-0.108007
pressure,22.720080,15.570868,-0.135011
pressure,22.756174,15.571252,-0.163218
pressure,22.792490,15.571683,-0.192605
pressure,22.829024,15.572164,-0.223159
pressure,22.865754,15.572708,-0.254835
pressure,22.902653,15.573304,-0.287532
pressure,22.939702,15.573951,-0.321078
pressure,22.976892,15.574651,-0.355228
pressure,23.014140,15.575403,-0.389781
pressure,23.051279,15.576202,-0.424683
pressure,23.078015,15.576808,-0.450128
