# LPT appendix p.173 (pdf_page: 186); inches; Z from the HPT exit plane, R radius, RTHETA tangential
# uncertain: pressure row 40 rtheta reads -0.584561 or -0.594561 in the scan; -0.584561 is the digit the neighbouring rows support and is the one entered
surface,z_in,r_in,rtheta_in
suction,21.702999,22.563210,0.0
suction,21.703526,22.563218,0.005956
suction,21.706883,22.563270,0.012331
suction,21.713078,22.563365,0.019074
suction,21.722123,22.563505,0.026104
suction,21.734036,22.563689,0.033305
suction,21.748841,22.563917,0.040524
suction,21.766567,22.564189,0.047572
suction,21.787249,22.564507,0.054219
suction,21.803407,22.564756,0.058454
suction,21.803407,22.564756,0.058454
suction,21.840916,22.565331,0.065345
suction,21.878847,22.565913,0.068462
suction,21.916780,22.566493,0.068545
suction,21.954608,22.567071,0.065976
suction,21.992308,22.567656,0.060989
suction,22.029883,22.568260,0.053782
suction,22.067258,22.568849,0.044479
suction,22.104389,22.569423,0.033286
suction,22.141315,22.569982,0.020366
suction,22.178059,22.570527,0.005756
suction,22.214628,22.571059,-0.010484
suction,22.251027,22.571577,-0.028293
suction,22.287248,22.572056,-0.047648
suction,22.323285,22.572502,-0.068529
suction,22.359142,22.572932,-0.090899
suction,22.394815,22.573320,-0.114742
suction,22.430297,22.573693,-0.140031
suction,22.465590,22.574042,-0.166729
suction,22.500697,22.574368,-0.194814
suction,22.535623,22.574671,-0.224266
suction,22.570359,22.574899,-0.255053
suction,22.604903,22.575110,-0.287117
suction,22.639269,22.575311,-0.320396
suction,22.673476,22.575504,-0.354832
suction,22.707527,22.575689,-0.390346
suction,22.741453,22.575865,-0.426887
suction,22.775263,22.576032,-0.464374
suction,22.808955,22.576192,-0.502733
suction,22.842569,22.576386,-0.541870
suction,22.876122,22.576604,-0.581718
suction,22.909614,22.576827,-0.622217
suction,22.943053,22.577056,-0.663288
suction,22.976447,22.577290,-0.704840
suction,23.009744,22.577530,-0.746813
suction,23.042982,22.577776,-0.789107
suction,23.076233,22.578028,-0.831603
suction,23.100651,22.578217,-0.862941
pressure,21.702999,22.563210,0.0
pressure,21.705121,22.563243,-0.005409
pressure,21.709750,22.563314,-0.010390
pressure,21.716872,22.563424,-0.014852
pressure,21.726466,22.563572,-0.018667
pressure,21.738516,22.563758,-0.021718
pressure,21.753012,22.563981,-0.023954
pressure,21.769970,22.564242,-0.025456
pressure,21.789440,22.564541,-0.026582
pressure,21.811915,22.564887,-0.027852
pressure,21.811915,22.564887,-0.027852
pressure,21.844181,22.565382,-0.030079
pressure,21.876025,22.565870,-0.033005
pressure,21.907866,22.566357,-0.037032
pressure,21.939813,22.566845,-0.042199
pressure,21.971889,22.567334,-0.048500
pressure,22.004088,22.567847,-0.056004
pressure,22.036488,22.568365,-0.064738
pressure,22.069132,22.568878,-0.074770
pressure,22.101981,22.569386,-0.086126
pressure,22.135011,22.569887,-0.098774
pressure,22.168217,22.570382,-0.112740
pressure,22.201593,22.570871,-0.128058
pressure,22.235147,22.571352,-0.144719
pressure,22.268885,22.571820,-0.162718
pressure,22.302803,22.572251,-0.182063
pressure,22.336904,22.572664,-0.202745
pressure,22.371197,22.573060,-0.224756
pressure,22.405679,22.573136,-0.248090
pressure,22.440347,22.573794,-0.272724
pressure,22.475195,22.574133,-0.298646
pressure,22.510235,22.574453,-0.325842
pressure,22.545465,22.574743,-0.354290
pressure,22.580874,22.574964,-0.383948
pressure,22.616542,22.575178,-0.414776
pressure,22.652166,22.575385,-0.446714
pressure,22.688013,22.575584,-0.479729
pressure,22.723980,22.575775,-0.513762
pressure,22.760062,22.575958,-0.549728
pressure,22.796223,22.576133,-0.584561
pressure,22.832445,22.576322,-0.621195
pressure,22.868728,22.576555,-0.658557
pressure,22.905064,22.576796,-0.696571
pressure,22.941449,22.577044,-0.735141
pressure,22.977921,22.577301,-0.774122
pressure,23.014459,22.577565,-0.813418
pressure,23.050983,22.577836,-0.853008
pressure,23.077818,22.578040,-0.882231
