# LPT appendix p.151 (pdf_page: 164); inches; Z from the HPT exit plane, R radius, RTHETA tangential
surface,z_in,r_in,rtheta_in
suction,7.306841,16.162008,0.0
suction,7.300594,16.159725,-0.008878
suction,7.297937,16.158752,-0.021903
suction,7.298385,16.159136,-0.038974
suction,7.303922,16.160942,-0.059939
suction,7.312972,16.164241,-0.084609
suction,7.326379,16.169098,-0.112780
suction,7.344368,16.175561,-0.144266
suction,7.367101,16.183640,-0.178937
suction,7.394629,16.193290,-0.216754
suction,7.399384,16.194942,-0.222985
suction,7.399384,16.194942,-0.222985
suction,7.433762,16.206757,-0.265776
suction,7.469963,16.218953,-0.306525
suction,7.507122,16.231210,-0.344484
suction,7.545344,16.243541,-0.379972
suction,7.585329,16.256140,-0.413103
suction,7.627317,16.268936,-0.443517
suction,7.671469,16.281910,-0.470640
suction,7.718261,16.295344,-0.493959
suction,7.768135,16.309304,-0.512781
suction,7.820794,16.323642,-0.526030
suction,7.875373,16.338068,-0.532822
suction,7.930663,16.352227,-0.532603
suction,7.985291,16.365910,-0.525389
suction,8.037950,16.378940,-0.511662
suction,8.087815,16.391133,-0.492329
suction,8.134877,16.402513,-0.468197
suction,8.179413,16.413166,-0.439997
suction,8.221672,16.423171,-0.408264
suction,8.262043,16.432703,-0.373479
suction,8.301072,16.441978,-0.335809
suction,8.339145,16.451074,-0.295178
suction,8.376375,16.460015,-0.251397
suction,8.412839,16.468818,-0.204299
suction,8.448514,16.477473,-0.153805
suction,8.483571,16.486019,-0.099968
suction,8.518244,16.494512,-0.042833
suction,8.552729,16.503053,0.017538
suction,8.587195,16.511633,0.081023
suction,8.621694,16.520210,0.147454
suction,8.656316,16.529109,0.216560
suction,8.691034,16.538832,0.288060
suction,8.725889,16.548062,0.361564
suction,8.760955,16.557450,0.436623
suction,8.796327,16.567013,0.512821
suction,8.832168,16.576798,0.589812
suction,8.862335,16.585108,0.654202
pressure,7.306841,16.162008,0.0
pressure,7.313075,16.164278,0.002983
pressure,7.321593,16.167368,0.003315
pressure,7.332461,16.171290,0.001049
pressure,7.345782,16.176067,-0.003730
pressure,7.361793,16.181727,-0.010906
pressure,7.380360,16.188306,-0.020344
pressure,7.401965,16.195837,-0.031889
pressure,7.426697,16.204347,-0.045388
pressure,7.466516,16.217803,-0.067065
pressure,7.511846,16.232749,-0.090937
pressure,7.511846,16.232749,-0.090937
pressure,7.555245,16.246689,-0.112283
pressure,7.596822,16.259705,-0.130455
pressure,7.637441,16.271937,-0.146198
pressure,7.676996,16.283514,-0.159744
pressure,7.714749,16.294358,-0.170943
pressure,7.750578,16.304432,-0.179824
pressure,7.784205,16.313723,-0.186689
pressure,7.815190,16.322136,-0.191702
pressure,7.843093,16.329590,-0.194987
pressure,7.868213,16.336201,-0.196980
pressure,7.891411,16.342223,-0.198119
pressure,7.913899,16.347985,-0.198689
pressure,7.937048,16.353835,-0.198620
pressure,7.962167,16.360139,-0.197582
pressure,7.990079,16.367101,-0.195067
pressure,8.020795,16.374712,-0.190717
pressure,8.054037,16.382889,-0.184133
pressure,8.089555,16.391556,-0.175005
pressure,8.126963,16.400608,-0.163002
pressure,8.165711,16.409900,-0.147885
pressure,8.205416,16.419334,-0.129310
pressure,8.245963,16.428897,-0.106790
pressure,8.287277,16.438694,-0.079701
pressure,8.329380,16.448736,-0.047454
pressure,8.372100,16.458986,-0.009685
pressure,8.415206,16.469391,0.033630
pressure,8.458498,16.479902,0.082268
pressure,8.501809,16.490481,0.135863
pressure,8.545088,16.501118,0.193896
pressure,8.588244,16.512102,0.255811
pressure,8.631304,16.523199,0.321191
pressure,8.674226,16.534399,0.389310
pressure,8.716938,16.545681,0.459682
pressure,8.759343,16.557017,0.531823
pressure,8.801280,16.568360,0.605431
pressure,8.835693,16.577766,0.667519
