# LPT appendix p.156 (pdf_page: 169); inches; Z from the HPT exit plane, R radius, RTHETA tangential
# quality: very faint scan; single read; several digits are best readings and the smoothness check is the only witness
surface,z_in,r_in,rtheta_in
suction,11.161983,14.973300,0.0
suction,11.156902,14.972407,-0.008475
suction,11.155286,14.972123,-0.020356
suction,11.157240,14.972466,-0.035540
suction,11.162922,14.973465,-0.053869
suction,11.172536,14.975159,-0.075142
suction,11.186306,14.977590,-0.099137
suction,11.204452,14.980803,-0.125638
suction,11.227153,14.984838,-0.154472
suction,11.254508,14.989723,-0.185540
suction,11.286492,14.995466,-0.218871
suction,11.316976,15.000971,-0.248803
suction,11.316976,15.000971,-0.248803
suction,11.356805,15.008211,-0.285654
suction,11.397265,15.015619,-0.320672
suction,11.438437,15.023214,-0.353889
suction,11.480553,15.031041,-0.385220
suction,11.523838,15.039205,-0.414397
suction,11.568321,15.047700,-0.441022
suction,11.614765,15.056535,-0.464737
suction,11.662677,15.065736,-0.485183
suction,11.712293,15.075315,-0.501920
suction,11.763513,15.085269,-0.514373
suction,11.816339,15.095569,-0.521867
suction,11.870106,15.106052,-0.523866
suction,11.923778,15.116515,-0.519896
suction,11.976262,15.126759,-0.510311
suction,12.027102,15.136694,-0.495672
suction,12.076141,15.146287,-0.476629
suction,12.123342,15.155531,-0.453768
suction,12.168856,15.164401,-0.427607
suction,12.213100,15.172824,-0.398353
suction,12.256447,15.181145,-0.365965
suction,12.299165,15.189412,-0.330180
suction,12.341303,15.197632,-0.290685
suction,12.382609,15.205752,-0.247455
suction,12.423011,15.213754,-0.200688
suction,12.462457,15.221624,-0.150737
suction,12.500978,15.229398,-0.098058
suction,12.538829,15.237319,-0.042760
suction,12.576264,15.245255,0.015210
suction,12.613459,15.253241,0.075753
suction,12.650632,15.261323,0.138607
suction,12.688042,15.269557,0.203390
suction,12.725825,15.277977,0.269700
suction,12.764100,15.286612,0.337165
suction,12.802928,15.295480,0.405530
suction,12.835123,15.302916,0.462001
pressure,11.161983,14.973300,0.0
pressure,11.169746,14.974567,0.004550
pressure,11.180655,14.976591,0.005895
pressure,11.194664,14.979068,0.003989
pressure,11.211726,14.982094,-0.001215
pressure,11.231826,14.985671,-0.009737
pressure,11.255026,14.989816,-0.021513
pressure,11.281541,14.994575,-0.036334
pressure,11.311908,15.000036,-0.053767
pressure,11.326067,15.002619,-0.061863
pressure,11.371512,15.010898,-0.086762
pressure,11.416128,15.019092,-0.109801
pressure,11.416128,15.019092,-0.109801
pressure,11.459926,15.027200,-0.130712
pressure,11.503092,15.035275,-0.149501
pressure,11.545545,15.043326,-0.166164
pressure,11.587055,15.051235,-0.180673
pressure,11.627396,15.058956,-0.193079
pressure,11.666339,15.066441,-0.203526
pressure,11.703722,15.073656,-0.212073
pressure,11.739435,15.080577,-0.218751
pressure,11.773445,15.087192,-0.223613
pressure,11.805791,15.093506,-0.226921
pressure,11.836652,15.099536,-0.228895
pressure,11.866510,15.105351,-0.229708
pressure,11.896454,15.111189,-0.229618
pressure,11.927606,15.117262,-0.228414
pressure,11.960392,15.123661,-0.225843
pressure,11.994979,15.130416,-0.221564
pressure,12.031404,15.137535,-0.215288
pressure,12.069516,15.144991,-0.206789
pressure,12.108897,15.152701,-0.195968
pressure,12.149177,15.160594,-0.182622
pressure,12.190088,15.168434,-0.166358
pressure,12.231573,15.176362,-0.146417
pressure,12.273893,15.184514,-0.121786
pressure,12.317116,15.192906,-0.091744
pressure,12.361297,15.201555,-0.056201
pressure,12.406402,15.210458,-0.015891
pressure,12.452176,15.219568,0.028103
pressure,12.498368,15.228855,0.075368
pressure,12.544799,15.238578,0.126022
pressure,12.591251,15.248461,0.180063
pressure,12.637467,15.258449,0.237316
pressure,12.683310,15.268510,0.297339
pressure,12.728661,15.278613,0.359637
pressure,12.773459,15.288739,0.423832
pressure,12.809658,15.297028,0.475580
