# LPT appendix p.157 (pdf_page: 170); inches; Z from the HPT exit plane, R radius, RTHETA tangential
# quality: faint scan; single read
surface,z_in,r_in,rtheta_in
suction,11.129883,17.387064,0.0
suction,11.122328,17.384333,-0.009847
suction,11.118483,17.382939,-0.024179
suction,11.118478,17.382937,-0.042889
suction,11.122517,17.384401,-0.065811
suction,11.130671,17.387421,-0.092729
suction,11.143849,17.392092,-0.123396
suction,11.161776,17.398505,-0.157556
suction,11.184961,17.406731,-0.194960
suction,11.213659,17.416806,-0.235417
suction,11.248026,17.428715,-0.278802
suction,11.267990,17.435556,-0.302298
suction,11.267990,17.435556,-0.302298
suction,11.308188,17.449155,-0.346426
suction,11.349594,17.462921,-0.387844
suction,11.392411,17.476897,-0.426543
suction,11.436967,17.491162,-0.462378
suction,11.483371,17.505655,-0.494932
suction,11.531684,17.520371,-0.523835
suction,11.582611,17.535565,-0.548871
suction,11.637041,17.551444,-0.569357
suction,11.694911,17.567917,-0.583932
suction,11.755440,17.584696,-0.591341
suction,11.817340,17.601317,-0.590528
suction,11.878758,17.617259,-0.580983
suction,11.937175,17.632210,-0.563483
suction,11.991112,17.645829,-0.539581
suction,12.041446,17.658380,-0.510530
suction,12.089194,17.670144,-0.477009
suction,12.134492,17.681175,-0.439629
suction,12.177623,17.691810,-0.399114
suction,12.219079,17.702090,-0.355722
suction,12.259294,17.712052,-0.309389
suction,12.298728,17.721811,-0.259740
suction,12.337714,17.731451,-0.206264
suction,12.376528,17.741039,-0.148484
suction,12.415435,17.750640,-0.085946
suction,12.454307,17.760224,-0.019030
suction,12.492915,17.769742,0.051218
suction,12.531108,17.779197,0.124375
suction,12.569041,17.788590,0.200573
suction,12.607035,17.798000,0.279816
suction,12.645352,17.807492,0.361892
suction,12.684013,17.817072,0.446481
suction,12.722886,17.826707,0.533100
suction,12.762043,17.836415,0.621143
suction,12.801651,17.846236,0.710114
suction,12.835800,17.854706,0.786335
pressure,11.129883,17.387064,0.0
pressure,11.138199,17.390062,0.003774
pressure,11.149389,17.394079,0.003975
pressure,11.163446,17.399101,0.000594
pressure,11.180382,17.405113,-0.006361
pressure,11.200267,17.412119,-0.016837
pressure,11.223280,17.420157,-0.030690
pressure,11.249779,17.429318,-0.047638
pressure,11.280384,17.439774,-0.067184
pressure,11.306234,17.448500,-0.082951
pressure,11.354097,17.464404,-0.109978
pressure,11.400635,17.479552,-0.133539
pressure,11.400635,17.479552,-0.133539
pressure,11.445829,17.493965,-0.153587
pressure,11.489815,17.507635,-0.170367
pressure,11.532391,17.520584,-0.184119
pressure,11.573227,17.532790,-0.195022
pressure,11.612215,17.544247,-0.203473
pressure,11.649295,17.554967,-0.209868
pressure,11.683760,17.564775,-0.214238
pressure,11.714722,17.573459,-0.216624
pressure,11.742244,17.581077,-0.217534
pressure,11.767107,17.587877,-0.217543
pressure,11.790598,17.594230,-0.217171
pressure,11.814575,17.600594,-0.216614
pressure,11.841550,17.607628,-0.215246
pressure,11.873006,17.615776,-0.212340
pressure,11.908064,17.624785,-0.207521
pressure,11.945708,17.634376,-0.200408
pressure,11.985802,17.644496,-0.190412
pressure,12.028064,17.655058,-0.176914
pressure,12.072000,17.665923,-0.159701
pressure,12.117177,17.676973,-0.138625
pressure,12.163135,17.688215,-0.113362
pressure,12.209542,17.699726,-0.083044
pressure,12.256120,17.711266,-0.046271
pressure,12.302606,17.722771,-0.001484
pressure,12.349126,17.734271,0.052055
pressure,12.395910,17.745823,0.112616
pressure,12.443110,17.757464,0.177476
pressure,12.490569,17.769161,0.245731
pressure,12.537967,17.780895,0.317744
pressure,12.585043,17.792553,0.393624
pressure,12.631774,17.804128,0.473009
pressure,12.678293,17.815655,0.555155
pressure,12.724528,17.827114,0.639343
pressure,12.770313,17.838465,0.725095
pressure,12.808836,17.848018,0.799092
