# LPT appendix p.170 (pdf_page: 183); inches; Z from the HPT exit plane, R radius, RTHETA tangential
# quality: faint scan; single read
# points: pressure = 47 -- the printed row between z 19.541240 and 19.627181 (r 22.437018, rtheta -0.066785) has an illegible z and is omitted rather than guessed
surface,z_in,r_in,rtheta_in
suction,19.343773,22.402337,0.0
suction,19.343104,22.402235,-0.005493
suction,19.345849,22.402653,-0.012819
suction,19.351950,22.403582,-0.022092
suction,19.361323,22.405003,-0.033473
suction,19.373879,22.406896,-0.047133
suction,19.389555,22.409243,-0.063193
suction,19.408352,22.412034,-0.081655
suction,19.430378,22.415270,-0.102308
suction,19.455907,22.418977,-0.124627
suction,19.489064,22.423718,-0.150471
suction,19.489064,22.423718,-0.150471
suction,19.532609,22.429821,-0.179306
suction,19.578347,22.436080,-0.204034
suction,19.624457,22.442232,-0.224388
suction,19.670843,22.448263,-0.241340
suction,19.718042,22.454312,-0.255411
suction,19.765891,22.460300,-0.266115
suction,19.813946,22.466103,-0.273320
suction,19.862097,22.471705,-0.277162
suction,19.910319,22.477103,-0.277780
suction,19.958467,22.482281,-0.275272
suction,20.006389,22.487224,-0.269778
suction,20.053954,22.491861,-0.261425
suction,20.101077,22.496082,-0.250402
suction,20.147748,22.500043,-0.236930
suction,20.194061,22.503758,-0.221293
suction,20.240282,22.507251,-0.203617
suction,20.286570,22.510535,-0.183708
suction,20.332762,22.513599,-0.161303
suction,20.378612,22.516428,-0.136180
suction,20.423881,22.518839,-0.108116
suction,20.468503,22.521038,-0.077208
suction,20.512590,22.523120,-0.043738
suction,20.556276,22.525093,-0.007943
suction,20.599534,22.526958,0.030141
suction,20.642312,22.528716,0.070481
suction,20.684753,22.530375,0.112814
suction,20.726956,22.531941,0.156956
suction,20.768928,22.533645,0.202879
suction,20.810725,22.535447,0.250522
suction,20.852444,22.537241,0.299736
suction,20.894140,22.539030,0.350353
suction,20.935847,22.540816,0.402169
suction,20.977434,22.542592,0.455067
suction,21.019026,22.544364,0.508734
suction,21.060947,22.546146,0.562757
suction,21.094363,22.547564,0.605333
pressure,19.343773,22.402337,0.0
pressure,19.347963,22.402975,0.004074
pressure,19.355377,22.404102,0.006367
pressure,19.365915,22.405696,0.006687
pressure,19.379448,22.407732,0.004783
pressure,19.395873,22.410184,0.000456
pressure,19.415189,22.413042,-0.006293
pressure,19.437603,22.416324,-0.015068
pressure,19.446408,22.417603,-0.018520
pressure,19.493841,22.424394,-0.036148
pressure,19.541240,22.431014,-0.051675
pressure,19.541240,22.431014,-0.051675
pressure,19.627181,22.442591,-0.079822
pressure,19.668682,22.447985,-0.091188
pressure,19.709907,22.453273,-0.101043
pressure,19.750320,22.458374,-0.108947
pressure,19.790082,22.463248,-0.114990
pressure,19.829639,22.467952,-0.119328
pressure,19.869100,22.472502,-0.122011
pressure,19.908490,22.476902,-0.122939
pressure,19.947953,22.481169,-0.122002
pressure,19.987643,22.485315,-0.119107
pressure,20.027689,22.489353,-0.114245
pressure,20.068177,22.493159,-0.107414
pressure,20.109118,22.496780,-0.098608
pressure,20.150417,22.500263,-0.087739
pressure,20.191808,22.503582,-0.074693
pressure,20.233131,22.506725,-0.059366
pressure,20.274550,22.509703,-0.041664
pressure,20.316312,22.512532,-0.021657
pressure,20.358654,22.515222,0.000430
pressure,20.401644,22.517708,0.024615
pressure,20.445168,22.519900,0.051069
pressure,20.489095,22.522022,0.079929
pressure,20.533448,22.524073,0.111109
pressure,20.578281,22.526053,0.144460
pressure,20.623452,22.527951,0.180023
pressure,20.668860,22.529764,0.217732
pressure,20.714500,22.531488,0.257412
pressure,20.760314,22.533273,0.299025
pressure,20.806207,22.535252,0.342603
pressure,20.852123,22.537227,0.388064
pressure,20.898027,22.539197,0.435215
pressure,20.944052,22.541167,0.483643
pressure,20.990072,22.543131,0.533133
pressure,21.035762,22.545076,0.583715
pressure,21.071317,22.546588,0.624350
