# DERIVED by tools/build_flowpaths.py from data/lpt-airfoils/*.csv -- hub and tip extrapolated linearly from the 10 and 90 percent sections; z from the HPT exit plane
row,edge,z_hub_in,r_hub_in,z_tip_in,r_tip_in,z_hub_cm,r_hub_cm,z_tip_cm,r_tip_cm,blade_height_in,r10_in,r50_in,r90_in
S1,LE,2.6947,12.7259,2.6952,16.0540,6.845,32.324,6.846,40.777,3.3281,13.1221,14.4328,15.6578
S1,TE,4.7699,13.1559,4.7766,17.2838,12.116,33.416,12.133,43.901,4.1279,13.6473,15.1905,16.7924
R1,LE,5.4714,13.2790,5.4856,17.6555,13.897,33.729,13.933,44.845,4.3765,13.8000,15.4656,17.1345
R1,TE,6.6277,13.4972,6.5563,18.1739,16.834,34.283,16.653,46.162,4.6767,14.0539,15.8750,17.6172
S2,LE,7.3710,13.6191,7.2489,18.5415,18.722,34.593,18.412,47.095,4.9224,14.2051,16.1620,17.9555
S2,TE,8.8491,13.8471,8.8495,19.2472,22.477,35.172,22.478,48.888,5.4001,14.4900,16.5814,18.6043
R2,LE,9.3856,13.9512,9.4016,19.5196,23.840,35.436,23.880,49.580,5.5683,14.6141,16.7600,18.8567
R2,TE,10.5502,14.1557,10.4779,20.0386,26.797,35.955,26.614,50.898,5.8829,14.8560,17.1557,19.3382
S3,LE,11.1718,14.2451,11.0893,20.3622,28.376,36.182,28.167,51.720,6.1172,14.9733,17.3871,19.6340
S3,TE,12.8223,14.5142,12.8230,21.1148,32.569,36.866,32.570,53.632,6.6006,15.3000,17.8514,20.3290
R3,LE,13.3616,14.6225,13.3822,21.3716,33.938,37.141,33.991,54.284,6.7491,15.4260,18.0228,20.5681
R3,TE,14.6150,14.7823,14.5174,21.8845,37.122,37.547,36.874,55.587,7.1022,15.6278,18.3924,21.0390
S4,LE,15.4732,14.7769,15.1573,22.1772,39.302,37.533,38.499,56.330,7.4003,15.6579,18.5970,21.2962
S4,TE,16.8855,14.7775,16.8855,22.7670,42.889,37.535,42.889,57.828,7.9895,15.7286,18.9070,21.8159
R4,LE,17.6108,14.7779,17.6717,23.0111,44.731,37.536,44.886,58.448,8.2332,15.7581,19.0468,22.0310
R4,TE,18.7360,14.7808,18.5632,23.2657,47.589,37.543,47.150,59.095,8.4849,15.7909,19.2318,22.2556
S5,LE,19.6605,14.7180,19.3010,23.4408,49.938,37.384,49.024,59.540,8.7227,15.7565,19.3788,22.4023
S5,TE,21.0821,14.5340,21.0829,23.6299,53.549,36.916,53.551,60.020,9.0960,15.6168,19.4773,22.5471
R5,LE,21.7112,14.4831,21.7019,23.6551,55.147,36.787,55.123,60.084,9.1720,15.5750,19.4852,22.5632
R5,TE,23.0888,14.4831,23.0893,23.6720,58.646,36.787,58.647,60.127,9.1889,15.5771,19.5281,22.5781
